🇨🇳河南地方,#genre#
CCTV-16,http://74.91.26.218:82/live/cctv16hd.m3u8
CCTV-17,http://38.75.136.137:98/gslb/dsdqpub/cctv17hd.m3u8?auth=testpub
CCTV-5+,http://74.91.26.218:82/live/cctv5p.m3u8
CCTV6,http://123.163.114.168:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://14.153.176.183:1234/624878396
CCTV6,http://1.24.39.180:9003/hls/6/index.m3u8
CCTV6,http://222.223.41.27:8888/hls/6/index.m3u8
CCTV6,http://27.12.12.29:1234/624878396
CCTV6,http://182.37.41.46:8154/tsfile/live/0006_1.m3u8?key=txiptv
CCTV6,http://221.226.51.220:50081/newlive/live/hls/6/live.m3u8
CCTV6,http://153.0.171.163:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,https://live.264788.xyz/channel/cctv6?streamid=6c8f16bfd8cad4d6e8d218cb2dbcf19c&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV6,http://59.39.89.130:60901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,https://live.264788.xyz/channel/cctv6?streamid=594ab401db67c9a1a87d9419543149ff&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV6,http://60.10.139.113:8801/hls/6/index.m3u8
CCTV6,https://live.264788.xyz/channel/cctv6?streamid=0ef9fb30ed6fddd913a3226264c374ac&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV6,http://183.223.157.33:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://play.kankanlive.com/live/1698234869325962.m3u8
CCTV1,http://222.223.41.27:8888/hls/1/index.m3u8
CCTV1,http://123.163.114.168:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://153.0.171.163:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://183.162.104.116:1234/608807420
CCTV1,http://110.154.192.76:7788/608807420
CCTV1,http://119.88.243.98:17231/608807420
CCTV1,http://14.153.176.183:1234/608807420
CCTV1,http://27.12.12.29:1234/608807420
CCTV1,http://60.10.139.113:8801/hls/1/index.m3u8
CCTV1,https://live.264788.xyz/channel/cctv1?streamid=107a756f519973a7e95798c05737a47c&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV1,http://182.37.41.46:8154/tsfile/live/0001_1.m3u8?key=txiptv
CCTV1,https://live.264788.xyz/channel/cctv1?streamid=b3819637a4c479c8ccd4d25e42eb96ca&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV1,https://live.264788.xyz/channel/cctv1?streamid=458e34213492c68772e565c06868d4af&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV1,https://live.264788.xyz/channel/cctv1?streamid=40cf2f40582b104fb087535f9601ea19&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV1,https://live.264788.xyz/channel/cctv1?streamid=478674d2f4e92891de4f30951016036f&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV1,https://live.264788.xyz/channel/cctv1?streamid=92aee428179a0ecc7495490888c0cba9&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV1,https://live.264788.xyz/channel/cctv1?streamid=cccb6b9cad34d95eaf06a39fcf6acd9e&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV1,http://59.39.89.130:60901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,https://live.264788.xyz/channel/cctv1?streamid=ae1fc95449a7d4a13c53490cbcae614f&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV3,http://47.104.178.59:3566/624878271
CCTV3,http://183.162.104.116:1234/624878271
CCTV3,http://116.236.204.18:1234/624878271
CCTV3,http://110.154.192.76:7788/624878271
CCTV3,http://119.88.243.98:17231/624878271
CCTV3,http://27.12.12.29:1234/624878271
CCTV3,http://222.223.41.27:8888/hls/3/index.m3u8
CCTV3,http://60.10.139.113:8801/hls/3/index.m3u8
CCTV3,http://14.153.176.183:1234/624878271
CCTV3,http://207.56.13.146:81/cdnlive/cctv3.m3u8
CCTV11,http://123.163.114.168:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://153.0.171.163:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://47.104.178.59:3566/667987558
CCTV11,http://116.52.173.231:1234/667987558
CCTV11,http://27.12.12.29:1234/667987558
CCTV11,http://60.10.139.113:8801/hls/96/index.m3u8
CCTV11,http://cd-live-stream.news.cctvplus.com/live/smil:CHANNEL1.smil/chunklist_w744036192_b1000000.m3u8
CCTV11,http://1.24.39.180:9003/hls/11/index.m3u8
CCTV11,http://74.91.26.218:82/live/cctv11hd.m3u8
CCTV11,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv11hd
CCTV11,http://223.75.149.129:9906/tsfile/live/0011_1.m3u8?key=txiptv
CCTV11,http://www.negative.top:50000/rtp/233.50.200.132:5140
CCTV11,http://183.129.255.66:8480/hls/12/index.m3u8
CCTV12,http://123.163.114.168:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://124.165.251.82:85/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://183.162.104.116:1234/673168185
CCTV12,http://119.88.243.98:17231/673168185
CCTV12,http://153.0.171.163:9901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://47.104.178.59:3566/673168185
CCTV12,http://14.153.176.183:1234/673168185
CCTV12,http://27.12.12.29:1234/673168185
CCTV12,http://110.154.192.76:7788/673168185
CCTV12,http://182.61.15.163:80/673168185
CCTV12,http://58.56.162.102:4466/newlive/live/hls/13/live.m3u8
CCTV12,http://74.91.26.218:82/live/cctv12hd.m3u8
CCTV12,https://live.264788.xyz/channel/cctv12?streamid=7274a33e11b479af1bb9e15efd258e4b&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV12,https://live.264788.xyz/channel/cctv12?streamid=2ffaa6964c764868df1ed3aa59a57a7d&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV12,https://live.264788.xyz/channel/cctv12?streamid=ab6198438329e6431e97e89390793ea5&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV12,https://live.264788.xyz/channel/cctv12?streamid=577823de18178c8e78f5dc92bfa605c3&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV12,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv12hd
CCTV12,http://59.39.89.130:60901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://60.10.139.113:8801/hls/11/index.m3u8
CCTV12,http://www.negative.top:50000/rtp/233.50.200.21:5140
CCTV12,http://1.24.39.180:9003/hls/12/index.m3u8
CCTV12,http://107.150.60.122/live/cctv12hd.m3u8
CCTV12,https://live.264788.xyz/channel/cctv12?streamid=2f2d9ed82e6e7edae66f9af09f19cced&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV12,https://live.264788.xyz/channel/cctv12?streamid=1ac62f22b4b7bbd88bf306dbabfc0cab&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV12,http://183.11.239.36:808/hls/30/index.m3u8
CCTV12,http://183.223.157.123:85/tsfile/live/0012_1.m3u8?key=txiptv
CCTV13,http://101.6.130.52:1234/608807423
CCTV13,http://222.223.41.27:8888/hls/13/index.m3u8
CCTV13,http://60.10.139.113:8801/hls/12/index.m3u8
CCTV13,http://47.104.178.59:3566/608807423
CCTV13,http://183.162.104.116:1234/608807423
CCTV13,http://58.56.162.102:4466/newlive/live/hls/14/live.m3u8
CCTV13,http://pull-hls-f26.douyinliving.com/media/stream-696107587393815378.m3u8?expire=6a50c3ab&sign=070f9c37ad3a8bb2e34edefb037983df&s_anchor=1&arch_hrchy=s2&major_anchor_level=vip&t_id=037-202607031804263FBA01D0DD5362E5EA3B-NVx2Sh
CCTV13,http://119.88.243.98:17231/608807423
CCTV13,http://153.0.171.163:9901/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,https://live.264788.xyz/channel/cctv13?streamid=4789b08617985dff522a8b3501a12a75&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV13,https://live.264788.xyz/channel/cctv13?streamid=9ea97cd43bafe3b9e0250240d221d0e2&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV13,https://live.264788.xyz/channel/cctv13?streamid=ca0ccc1cc485217f8cd8388441629dc6&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV13,https://live.264788.xyz/channel/cctv13?streamid=10271fee253d2d91a7fc49f708ec621e&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV13,http://59.39.89.130:60901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://113.25.252.226:9901/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://1.24.39.180:9003/hls/13/index.m3u8
CCTV13,http://183.11.239.36:808/hls/31/index.m3u8
CCTV13,http://183.223.157.33:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://123.163.114.168:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://153.0.171.163:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://47.104.178.59:3566/673168121
CCTV7,http://27.12.12.29:1234/673168121
CCTV7,http://119.88.243.98:17231/673168121
CCTV7,http://116.52.173.231:1234/673168121
CCTV7,http://110.154.192.76:7788/673168121
CCTV7,http://182.61.15.163:80/673168121
CCTV7,http://60.10.139.113:8801/hls/7/index.m3u8
CCTV7,http://183.162.104.116:1234/673168121
CCTV7,http://182.37.41.46:8154/tsfile/live/0007_1.m3u8?key=txiptv
CCTV7,https://live.264788.xyz/channel/cctv7?streamid=bfc46d4a96d2d9c0ab5d7e66527fbd0a&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV7,https://live.264788.xyz/channel/cctv7?streamid=0153a69238ce5820014fb09aec713799&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV7,https://live.264788.xyz/channel/cctv7?streamid=98cd6dfda16281b12dd69dd808e10cf8&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV7,https://live.264788.xyz/channel/cctv7?streamid=3486ebf3d4e652ede40ade48d653f610&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV7,https://live.264788.xyz/channel/cctv7?streamid=479fea30e7639a9aeb0d647c41d49027&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV7,http://113.25.252.226:9901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://1.24.39.180:9003/hls/7/index.m3u8
CCTV7,http://183.11.239.36:808/hls/25/index.m3u8
CCTV7,https://live.264788.xyz/channel/cctv7?streamid=043ecb8ede7fbe890d88633af70d7cb3&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV5,http://123.163.114.168:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://47.104.178.59:3566/641886683
CCTV5,http://183.162.104.116:1234/641886683
CCTV5,http://60.10.139.113:8801/hls/5/index.m3u8
CCTV5,http://116.52.173.231:1234/641886683
CCTV5,http://1.24.39.180:9003/hls/5/index.m3u8
CCTV5,http://153.0.171.163:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://182.37.41.46:8154/tsfile/live/0005_1.m3u8?key=txiptv
CCTV5,http://183.223.157.33:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://221.226.51.220:50081/newlive/live/hls/5/live.m3u8
CCTV5,https://live.264788.xyz/channel/cctv5?streamid=504fa453c7bb756531e1811917356ce7&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV5,https://live.264788.xyz/channel/cctv5?streamid=aeee9fc440a5f4bc1bb9574b65213f29&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV5,https://live.264788.xyz/channel/cctv5?streamid=75e09d8ebb5b5dac2dd7ed2dd2f0ecac&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV5,https://live.264788.xyz/channel/cctv5?streamid=bfdc7fd4fdd7c31f07cacd34d3cb0a5a&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV5,https://live.264788.xyz/channel/cctv5?streamid=1806e73ac17e1ad9a7f4c7b2dc9abea6&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV-1综合,http://219.150.217.47:6610/PLTV1/40/index.m3u8?icpid=dxrm1
CCTV-2财经,http://219.150.217.47:6610/PLTV1/60/index.m3u8?icpid=dxrm1
CCTV-10科教,http://219.150.217.47:6610/PLTV1/220/index.m3u8?icpid=dxrm1
CCTV4,http://123.163.114.168:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://183.162.104.116:1234/631780421
CCTV4,http://14.153.176.183:1234/631780421
CCTV4,http://119.88.243.98:17231/631780421
CCTV4,http://183.162.104.116:1234/608807419
CCTV4,http://183.162.104.116:1234/608807416
CCTV4,http://116.52.173.231:1234/608807416
CCTV4,http://110.154.192.76:7788/608807419
CCTV4,http://27.12.12.29:1234/608807419
CCTV4,http://153.0.171.163:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://14.153.176.183:1234/608807419
CCTV4,http://110.154.192.76:7788/608807416
CCTV4,http://119.88.243.98:17231/608807419
CCTV4,http://182.61.15.163:80/631780421
CCTV4,http://182.61.15.163:80/608807419
CCTV4,http://119.88.243.98:17231/608807416
CCTV4,http://60.10.139.113:8801/hls/4/index.m3u8
CCTV4,http://47.104.178.59:3566/631780421
CCTV4,http://221.226.51.220:50081/newlive/live/hls/4/live.m3u8
CCTV4,http://113.25.252.226:9901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://47.104.178.59:3566/608807416
CCTV4,http://58.56.162.102:4466/newlive/live/hls/4/live.m3u8
CCTV4,http://1.24.39.180:9003/hls/4/index.m3u8
CCTV4,http://182.37.41.46:8154/tsfile/live/0004_1.m3u8?key=txiptv
CCTV4,https://live.264788.xyz/channel/cctv4?streamid=1efbca0be5bd36b4a23a71db15a0ce8a&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV4,http://118.193.115.2:9901/tsfile/live/0004_1.m3u8?key=txiptv
CCTV10,http://27.12.12.29:1234/624878405
CCTV10,http://119.88.243.98:17231/624878405
CCTV10,http://1.24.39.180:9003/hls/10/index.m3u8
CCTV10,http://116.236.204.18:1234/624878405
CCTV10,http://153.0.171.163:9901/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://110.154.192.76:7788/624878405
CCTV10,http://123.163.114.168:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://183.162.104.116:1234/624878405
CCTV10,http://60.10.139.113:8801/hls/10/index.m3u8
CCTV10,http://113.25.252.226:9901/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://107.150.60.122/live/cctv10hd.m3u8
CCTV10,https://live.264788.xyz/channel/cctv10?streamid=53ba5973e313102776c533632a495108&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV10,http://58.56.162.102:4466/newlive/live/hls/11/live.m3u8
CCTV10,https://live.264788.xyz/channel/cctv10?streamid=802331ccd41b8d8283234e98b55fe720&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV10,https://live.264788.xyz/channel/cctv10?streamid=61d2faba189c1fee2c26fb733648e7d2&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV10,http://182.37.41.46:8154/tsfile/live/0010_1.m3u8?key=txiptv
CCTV10,http://183.11.239.36:808/hls/28/index.m3u8
CCTV10,http://118.193.115.2:9901/tsfile/live/0010_1.m3u8?key=txiptv
CCTV14,http://123.163.114.168:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://153.0.171.163:9901/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://183.162.104.116:1234/624878440
CCTV14,http://101.6.130.52:1234/624878440
CCTV14,http://27.12.12.29:1234/624878440
CCTV14,http://47.104.178.59:3566/624878440
CCTV14,http://110.154.192.76:7788/624878440
CCTV14,http://182.61.15.163:80/624878440
CCTV14,http://192.151.150.154/live/cctv14hd.m3u8
CCTV14,http://182.37.41.46:8154/tsfile/live/0014_1.m3u8?key=txiptv
CCTV14,http://183.223.157.33:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://223.75.149.129:9906/tsfile/live/0014_1.m3u8?key=txiptv
CCTV14,http://113.25.252.226:9901/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,https://live.264788.xyz/channel/cctv14?streamid=d97345047af477cfec39d9d99a9e62f8&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV14,https://live.264788.xyz/channel/cctv14?streamid=f0870d5670f7b591427c91bcb34e55d4&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV14,https://live.264788.xyz/channel/cctv14?streamid=cabc817805412b81748c942b2dcb39c5&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV14,https://live.264788.xyz/channel/cctv14?streamid=dea6e23e9d7b5317f3605c247aaba891&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV14,http://1.24.39.180:9003/hls/14/index.m3u8
CCTV14,http://183.11.239.36:808/hls/32/index.m3u8
CCTV-7国防军事,http://219.150.217.47:6610/PLTV1/160/index.m3u8?icpid=dxrm1
CCTV-4中文国际,http://219.150.217.47:6610/PLTV1/100/index.m3u8?icpid=dxrm1
CCTV-5体育,http://219.150.217.47:6610/PLTV1/120/index.m3u8?icpid=dxrm1
CCTV-5体育,http://207.56.13.146:81/cdnlive/cctv5.m3u8
CCTV-5+体育赛事,http://219.150.217.47:6610/PLTV1/380/index.m3u8?icpid=dxrm1
CCTV-6电影,http://219.150.217.47:6610/PLTV1/140/index.m3u8?icpid=dxrm1
CCTV-8电视剧,http://219.150.217.47:6610/PLTV1/180/index.m3u8?icpid=dxrm1
CCTV-8电视剧,http://204.12.221.218:8181/3m1080p/cctv8.m3u8
CCTV-12社会与法,http://219.150.217.47:6610/PLTV1/260/index.m3u8?icpid=dxrm1
CCTV-14少儿,http://219.150.217.47:6610/PLTV1/300/index.m3u8?icpid=dxrm1
CCTV-14少儿,http://204.12.221.218:8181/3m1080p/cctv14.m3u8
CCTV-14少儿,http://173.208.212.130:8181/1080p/cctv14.m3u8
CCTV-14少儿,http://173.208.212.130:8181/720p/cctv14.m3u8
CCTV-15音乐,http://219.150.217.47:6610/PLTV1/320/index.m3u8?icpid=dxrm1
CCTV-15音乐,http://173.208.212.130:8181/1080p/cctv15.m3u8
CCTV-17农业农村,http://219.150.217.47:6610/PLTV1/360/index.m3u8?icpid=dxrm1
CCTV-17农业农村,http://207.56.13.146:81/cdnlive/cctv17.m3u8
CCTV2,http://47.104.178.59:3566/631780532
CCTV2,http://183.162.104.116:1234/631780532
CCTV2,http://116.236.204.18:1234/631780532
CCTV2,http://110.154.192.76:7788/631780532
CCTV2,http://182.61.15.163:80/631780532
CCTV2,http://153.0.171.163:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://60.10.139.113:8801/hls/2/index.m3u8
CCTV2,http://182.37.41.46:8154/tsfile/live/0002_1.m3u8?key=txiptv
CCTV2,http://113.25.252.226:9901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://183.223.157.33:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://223.112.114.228:50080/newlive/live/hls/180/live.m3u8
CCTV5+,http://47.104.178.59:3566/641886773
CCTV5+,http://60.10.139.113:8801/hls/15/index.m3u8
CCTV5+,http://110.154.192.76:7788/641886773
CCTV5+,http://183.162.104.116:1234/641886773
CCTV5+,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv5p
CCTV5+,http://58.56.162.102:4466/newlive/live/hls/6/live.m3u8
CCTV15,http://183.162.104.116:1234/673168223
CCTV15,http://14.153.176.183:1234/673168223
CCTV15,http://47.104.178.59:3566/673168223
CCTV15,http://110.154.192.76:7788/673168223
CCTV15,http://116.236.204.18:1234/673168223
CCTV15,http://153.0.171.163:9901/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://182.61.15.163:80/673168223
CCTV15,http://1.24.39.180:9003/hls/15/index.m3u8
